ID,State,Name,Category,Income,Qualification,Description,Type,Award Amount,Duration,Application Deadline,Eligibility Criteria
27,Madhya Pradesh,Sustainability Engineering Scholarship by Indian Science Society,ST,250000,Diploma,Sustainability Engineering Scholarship by Indian Science Society provides financial assistance to students in ST category. The award amount is INR 119472 per year.,NGO,INR 119472,2 years,2th September 2025,Applicant must have scored at least 80% in their last qualifying exam (Class 12 or equivalent). Annual family income should not exceed INR 0. The scholarship is open for students pursuing Graduation. Preference will be given to students belonging to the General category. Applicants must be residents of Haryana.
28,Rajasthan,Global Medical Scholarship by Tata Foundation,ST,750000,Ph.D.,Global Medical Scholarship by Tata Foundation provides financial assistance to students in ST category. The award amount is INR 34597 per year.,NGO,INR 34597,3 years,10th August 2025,Applicant must have scored at least 54% in their last qualifying exam (Class 12 or equivalent). Annual family income should not exceed INR 1000000. The scholarship is open for students pursuing Graduation. Preference will be given to students belonging to the General category. Applicants must be residents of Jharkhand.
29,Bihar,Sustainability Arts Scholarship by IIT Foundation,EWS,500000,Post-Graduation,Sustainability Arts Scholarship by IIT Foundation provides financial assistance to students in EWS category. The award amount is INR 126117 per year.,Corporate,INR 126117,4 years,8th August 2025,Applicant must have scored at least 67% in their last qualifying exam (Class 12 or equivalent). Annual family income should not exceed INR 0. The scholarship is open for students pursuing Post-Graduation. Preference will be given to students belonging to the SC category. Applicants must be residents of Telangana.
30,Tamil Nadu,Diversity Agriculture Scholarship by Indian Science Society,OBC,1500000,Diploma,Diversity Agriculture Scholarship by Indian Science Society provides financial assistance to students in OBC category. The award amount is INR 69234 per year.,International,INR 69234,1 years,7th June 2025,Applicant must have scored at least 50% in their last qualifying exam (Class 12 or equivalent). Annual family income should not exceed INR 0. The scholarship is open for students pursuing Graduation. Preference will be given to students belonging to the OBC category. Applicants must be residents of Rajasthan.
31,Chhattisgarh,Innovation Engineering Scholarship by JNU Research,EWS,1500000,Ph.D.,Innovation Engineering Scholarship by JNU Research provides financial assistance to students in EWS category. The award amount is INR 126507 per year.,Corporate,INR 126507,3 years,20th September 2025,Applicant must have scored at least 62% in their last qualifying exam (Class 12 or equivalent). Annual family income should not exceed INR 1000000. The scholarship is open for students pursuing HSC. Preference will be given to students belonging to the EWS category. Applicants must be residents of Odisha.
32,Haryana,Sustainability Social Sciences Scholarship by Ambani Institute,SEBC,500000,Engineering,Sustainability Social Sciences Scholarship by Ambani Institute provides financial assistance to students in SEBC category. The award amount is INR 97267 per year.,Government,INR 97267,2 years,1th August 2025,Applicant must have scored at least 90% in their last qualifying exam (Class 12 or equivalent). Annual family income should not exceed INR 1500000. The scholarship is open for students pursuing Diploma. Preference will be given to students belonging to the OBC category. Applicants must be residents of Haryana.
33,West Bengal,Leadership Medical Scholarship by Indian Government,General,250000,HSC,Leadership Medical Scholarship by Indian Government provides financial assistance to students in General category. The award amount is INR 5593 per year.,Private,INR 5593,2 years,21th July 2025,Applicant must have scored at least 82% in their last qualifying exam (Class 12 or equivalent). Annual family income should not exceed INR 1000000. The scholarship is open for students pursuing Engineering. Preference will be given to students belonging to the Minority category. Applicants must be residents of Madhya Pradesh.
34,Telangana,Innovation Social Sciences Scholarship by JNU Research,SEBC,750000,Engineering,Innovation Social Sciences Scholarship by JNU Research provides financial assistance to students in SEBC category. The award amount is INR 96091 per year.,Corporate,INR 96091,2 years,16th September 2025,Applicant must have scored at least 88% in their last qualifying exam (Class 12 or equivalent). Annual family income should not exceed INR 250000. The scholarship is open for students pursuing Post-Graduation. Preference will be given to students belonging to the OBC category. Applicants must be residents of Andhra Pradesh.
35,Chhattisgarh,Community Law Scholarship by Dr. APJ Abdul Kalam Foundation,SC,0,Medical,Community Law Scholarship by Dr. APJ Abdul Kalam Foundation provides financial assistance to students in SC category. The award amount is INR 116252 per year.,Government,INR 116252,2 years,27th June 2025,Applicant must have scored at least 85% in their last qualifying exam (Class 12 or equivalent). Annual family income should not exceed INR 250000. The scholarship is open for students pursuing HSC. Preference will be given to students belonging to the SEBC category. Applicants must be residents of Jharkhand.
36,Odisha,Development STEM Scholarship by Dr. APJ Abdul Kalam Foundation,General,250000,Engineering,Development STEM Scholarship by Dr. APJ Abdul Kalam Foundation provides financial assistance to students in General category. The award amount is INR 14081 per year.,Government,INR 14081,1 years,25th August 2025,Applicant must have scored at least 80% in their last qualifying exam (Class 12 or equivalent). Annual family income should not exceed INR 750000. The scholarship is open for students pursuing Diploma. Preference will be given to students belonging to the all category. Applicants must be residents of Odisha.
37,Gujarat,Diversity Arts Scholarship by Indian Education Trust,SC,0,Post-Graduation,Diversity Arts Scholarship by Indian Education Trust provides financial assistance to students in SC category. The award amount is INR 13262 per year.,Private,INR 13262,4 years,20th June 2025,Applicant must have scored at least 69% in their last qualifying exam (Class 12 or equivalent). Annual family income should not exceed INR 250000. The scholarship is open for students pursuing Ph.D.. Preference will be given to students belonging to the SC category. Applicants must be residents of Andhra Pradesh.
38,Tamil Nadu,Empowerment Agriculture Scholarship by Indian Science Society,all,500000,Engineering,Empowerment Agriculture Scholarship by Indian Science Society provides financial assistance to students in all category. The award amount is INR 149503 per year.,NGO,INR 149503,4 years,26th September 2025,Applicant must have scored at least 72% in their last qualifying exam (Class 12 or equivalent). Annual family income should not exceed INR 750000. The scholarship is open for students pursuing Diploma. Preference will be given to students belonging to the all category. Applicants must be residents of Rajasthan.
39,Uttarakhand,Youth Engineering Scholarship by IIT Foundation,OBC,1000000,Medical,Youth Engineering Scholarship by IIT Foundation provides financial assistance to students in OBC category. The award amount is INR 46589 per year.,Government,INR 46589,1 years,14th August 2025,Applicant must have scored at least 69% in their last qualifying exam (Class 12 or equivalent). Annual family income should not exceed INR 1000000. The scholarship is open for students pursuing Graduation. Preference will be given to students belonging to the Minority category. Applicants must be residents of Andhra Pradesh.
40,Uttar Pradesh,Innovation STEM Scholarship by Indian Science Society,General,1000000,Diploma,Innovation STEM Scholarship by Indian Science Society provides financial assistance to students in General category. The award amount is INR 113788 per year.,Corporate,INR 113788,1 years,28th July 2025,Applicant must have scored at least 72% in their last qualifying exam (Class 12 or equivalent). Annual family income should not exceed INR 1000000. The scholarship is open for students pursuing Graduation. Preference will be given to students belonging to the Minority category. Applicants must be residents of Andhra Pradesh.
41,Kerala,Leadership STEM Scholarship by Ambani Institute,OBC,1500000,Medical,Leadership STEM Scholarship by Ambani Institute provides financial assistance to students in OBC category. The award amount is INR 30644 per year.,Government,INR 30644,3 years,5th August 2025,Applicant must have scored at least 87% in their last qualifying exam (Class 12 or equivalent). Annual family income should not exceed INR 500000. The scholarship is open for students pursuing Ph.D.. Preference will be given to students belonging to the SC category. Applicants must be residents of West Bengal.
42,Haryana,Leadership Social Sciences Scholarship by Bharti Enterprises,SEBC,1500000,Medical,Leadership Social Sciences Scholarship by Bharti Enterprises provides financial assistance to students in SEBC category. The award amount is INR 40353 per year.,NGO,INR 40353,1 years,11th June 2025,Applicant must have scored at least 80% in their last qualifying exam (Class 12 or equivalent). Annual family income should not exceed INR 500000. The scholarship is open for students pursuing Post-Graduation. Preference will be given to students belonging to the SC category. Applicants must be residents of West Bengal.
43,Delhi,Sustainability Entrepreneurship Scholarship by Indian Education Trust,EWS,750000,Diploma,Sustainability Entrepreneurship Scholarship by Indian Education Trust provides financial assistance to students in EWS category. The award amount is INR 63324 per year.,International,INR 63324,2 years,23th June 2025,Applicant must have scored at least 59% in their last qualifying exam (Class 12 or equivalent). Annual family income should not exceed INR 1500000. The scholarship is open for students pursuing Diploma. Preference will be given to students belonging to the ST category. Applicants must be residents of Uttarakhand.
44,Andhra Pradesh,Global Agriculture Scholarship by Dr. APJ Abdul Kalam Foundation,SC,250000,HSC,Global Agriculture Scholarship by Dr. APJ Abdul Kalam Foundation provides financial assistance to students in SC category. The award amount is INR 91822 per year.,Government,INR 91822,1 years,2th July 2025,Applicant must have scored at least 80% in their last qualifying exam (Class 12 or equivalent). Annual family income should not exceed INR 250000. The scholarship is open for students pursuing Diploma. Preference will be given to students belonging to the SEBC category. Applicants must be residents of Bihar.
45,Haryana,Empowerment Social Sciences Scholarship by JNU Research,SEBC,250000,Diploma,Empowerment Social Sciences Scholarship by JNU Research provides financial assistance to students in SEBC category. The award amount is INR 102060 per year.,Corporate,INR 102060,4 years,5th September 2025,Applicant must have scored at least 57% in their last qualifying exam (Class 12 or equivalent). Annual family income should not exceed INR 1000000. The scholarship is open for students pursuing Ph.D.. Preference will be given to students belonging to the SC category. Applicants must be residents of Punjab.
46,Chhattisgarh,Research Engineering Scholarship by Indian Science Society,Minority,1000000,Graduation,Research Engineering Scholarship by Indian Science Society provides financial assistance to students in Minority category. The award amount is INR 72245 per year.,Private,INR 72245,1 years,19th July 2025,Applicant must have scored at least 81% in their last qualifying exam (Class 12 or equivalent). Annual family income should not exceed INR 500000. The scholarship is open for students pursuing Ph.D.. Preference will be given to students belonging to the Minority category. Applicants must be residents of Delhi.
47,Rajasthan,Innovation Arts Scholarship by IIT Foundation,Minority,1500000,Post-Graduation,Innovation Arts Scholarship by IIT Foundation provides financial assistance to students in Minority category. The award amount is INR 133906 per year.,NGO,INR 133906,2 years,22th September 2025,Applicant must have scored at least 67% in their last qualifying exam (Class 12 or equivalent). Annual family income should not exceed INR 500000. The scholarship is open for students pursuing HSC. Preference will be given to students belonging to the all category. Applicants must be residents of Bihar.
48,Assam,Excellence Engineering Scholarship by Tata Foundation,SC,500000,Post-Graduation,Excellence Engineering Scholarship by Tata Foundation provides financial assistance to students in SC category. The award amount is INR 48861 per year.,NGO,INR 48861,3 years,15th July 2025,Applicant must have scored at least 55% in their last qualifying exam (Class 12 or equivalent). Annual family income should not exceed INR 500000. The scholarship is open for students pursuing HSC. Preference will be given to students belonging to the OBC category. Applicants must be residents of Gujarat.
49,Haryana,Empowerment Engineering Scholarship by IIT Foundation,Minority,500000,Post-Graduation,Empowerment Engineering Scholarship by IIT Foundation provides financial assistance to students in Minority category. The award amount is INR 67373 per year.,Government,INR 67373,2 years,2th August 2025,Applicant must have scored at least 59% in their last qualifying exam (Class 12 or equivalent). Annual family income should not exceed INR 0. The scholarship is open for students pursuing Diploma. Preference will be given to students belonging to the OBC category. Applicants must be residents of Karnataka.
50,Maharashtra,Merit Arts Scholarship by JNU Research,EWS,750000,Graduation,Merit Arts Scholarship by JNU Research provides financial assistance to students in EWS category. The award amount is INR 31822 per year.,NGO,INR 31822,2 years,15th August 2025,Applicant must have scored at least 55% in their last qualifying exam (Class 12 or equivalent). Annual family income should not exceed INR 1000000. The scholarship is open for students pursuing Post-Graduation. Preference will be given to students belonging to the OBC category. Applicants must be residents of Andhra Pradesh.
51,Kerala,Diversity Arts Scholarship by Mahatma Gandhi Trust,Minority,750000,Graduation,Diversity Arts Scholarship by Mahatma Gandhi Trust provides financial assistance to students in Minority category. The award amount is INR 111186 per year.,International,INR 111186,4 years,12th August 2025,Applicant must have scored at least 58% in their last qualifying exam (Class 12 or equivalent). Annual family income should not exceed INR 500000. The scholarship is open for students pursuing Post-Graduation. Preference will be given to students belonging to the Minority category. Applicants must be residents of Chhattisgarh.
52,Delhi,Community Law Scholarship by IIT Foundation,ST,1000000,Medical,Community Law Scholarship by IIT Foundation provides financial assistance to students in ST category. The award amount is INR 28503 per year.,Private,INR 28503,2 years,8th July 2025,Applicant must have scored at least 63% in their last qualifying exam (Class 12 or equivalent). Annual family income should not exceed INR 750000. The scholarship is open for students pursuing HSC. Preference will be given to students belonging to the Minority category. Applicants must be residents of Telangana.
53,Assam,Diversity Law Scholarship by Indian Education Trust,Minority,750000,Ph.D.,Diversity Law Scholarship by Indian Education Trust provides financial assistance to students in Minority category. The award amount is INR 99860 per year.,Corporate,INR 99860,3 years,12th July 2025,Applicant must have scored at least 84% in their last qualifying exam (Class 12 or equivalent). Annual family income should not exceed INR 250000. The scholarship is open for students pursuing Ph.D.. Preference will be given to students belonging to the ST category. Applicants must be residents of Delhi.
54,Rajasthan,Empowerment Law Scholarship by IIT Foundation,ST,250000,Post-Graduation,Empowerment Law Scholarship by IIT Foundation provides financial assistance to students in ST category. The award amount is INR 27109 per year.,NGO,INR 27109,4 years,12th June 2025,Applicant must have scored at least 85% in their last qualifying exam (Class 12 or equivalent). Annual family income should not exceed INR 250000. The scholarship is open for students pursuing HSC. Preference will be given to students belonging to the EWS category. Applicants must be residents of Andhra Pradesh.
55,Uttarakhand,Excellence Literature Scholarship by IIT Foundation,SC,1000000,Graduation,Excellence Literature Scholarship by IIT Foundation provides financial assistance to students in SC category. The award amount is INR 89341 per year.,Corporate,INR 89341,3 years,13th July 2025,Applicant must have scored at least 51% in their last qualifying exam (Class 12 or equivalent). Annual family income should not exceed INR 0. The scholarship is open for students pursuing Graduation. Preference will be given to students belonging to the Minority category. Applicants must be residents of Odisha.
56,Odisha,Development Entrepreneurship Scholarship by Tata Foundation,ST,500000,Graduation,Development Entrepreneurship Scholarship by Tata Foundation provides financial assistance to students in ST category. The award amount is INR 76667 per year.,Corporate,INR 76667,4 years,18th August 2025,Applicant must have scored at least 65% in their last qualifying exam (Class 12 or equivalent). Annual family income should not exceed INR 0. The scholarship is open for students pursuing Ph.D.. Preference will be given to students belonging to the SC category. Applicants must be residents of Gujarat.
57,Delhi,Research Economics Scholarship by Bharti Enterprises,General,1000000,HSC,Research Economics Scholarship by Bharti Enterprises provides financial assistance to students in General category. The award amount is INR 136904 per year.,Private,INR 136904,1 years,9th September 2025,Applicant must have scored at least 50% in their last qualifying exam (Class 12 or equivalent). Annual family income should not exceed INR 750000. The scholarship is open for students pursuing Post-Graduation. Preference will be given to students belonging to the EWS category. Applicants must be residents of Madhya Pradesh.
58,Chhattisgarh,Development Medical Scholarship by Mahatma Gandhi Trust,EWS,750000,HSC,Development Medical Scholarship by Mahatma Gandhi Trust provides financial assistance to students in EWS category. The award amount is INR 35014 per year.,Government,INR 35014,1 years,17th September 2025,Applicant must have scored at least 73% in their last qualifying exam (Class 12 or equivalent). Annual family income should not exceed INR 250000. The scholarship is open for students pursuing Engineering. Preference will be given to students belonging to the all category. Applicants must be residents of Madhya Pradesh.
59,Jharkhand,Diversity Social Sciences Scholarship by Mahatma Gandhi Trust,all,250000,Graduation,Diversity Social Sciences Scholarship by Mahatma Gandhi Trust provides financial assistance to students in all category. The award amount is INR 105375 per year.,Government,INR 105375,4 years,10th June 2025,Applicant must have scored at least 59% in their last qualifying exam (Class 12 or equivalent). Annual family income should not exceed INR 500000. The scholarship is open for students pursuing Graduation. Preference will be given to students belonging to the all category. Applicants must be residents of Chhattisgarh.
60,West Bengal,Research Agriculture Scholarship by JNU Research,EWS,0,HSC,Research Agriculture Scholarship by JNU Research provides financial assistance to students in EWS category. The award amount is INR 105713 per year.,Government,INR 105713,1 years,12th July 2025,Applicant must have scored at least 81% in their last qualifying exam (Class 12 or equivalent). Annual family income should not exceed INR 250000. The scholarship is open for students pursuing HSC. Preference will be given to students belonging to the SEBC category. Applicants must be residents of Assam.
61,Telangana,Community Engineering Scholarship by Tata Foundation,SC,0,Diploma,Community Engineering Scholarship by Tata Foundation provides financial assistance to students in SC category. The award amount is INR 134731 per year.,Corporate,INR 134731,3 years,9th July 2025,Applicant must have scored at least 53% in their last qualifying exam (Class 12 or equivalent). Annual family income should not exceed INR 250000. The scholarship is open for students pursuing Diploma. Preference will be given to students belonging to the all category. Applicants must be residents of Punjab.
62,Gujarat,Innovation Engineering Scholarship by JNU Research,General,750000,Graduation,Innovation Engineering Scholarship by JNU Research provides financial assistance to students in General category. The award amount is INR 45388 per year.,NGO,INR 45388,2 years,7th August 2025,Applicant must have scored at least 65% in their last qualifying exam (Class 12 or equivalent). Annual family income should not exceed INR 500000. The scholarship is open for students pursuing Post-Graduation. Preference will be given to students belonging to the SEBC category. Applicants must be residents of Kerala.
63,Assam,Merit Literature Scholarship by Tata Foundation,ST,1500000,Medical,Merit Literature Scholarship by Tata Foundation provides financial assistance to students in ST category. The award amount is INR 12108 per year.,NGO,INR 12108,1 years,19th August 2025,Applicant must have scored at least 60% in their last qualifying exam (Class 12 or equivalent). Annual family income should not exceed INR 500000. The scholarship is open for students pursuing Medical. Preference will be given to students belonging to the OBC category. Applicants must be residents of Jharkhand.
