ID,State,Name,Category,Income Eligibility,Qualification,Eligible Courses,Special Criteria,Minimum Qualification,Description,Type,Selection Process,Award Amount,Duration,Application Deadline,Registration Link
14,Rajasthan,CM Higher Education Scholarship,General/OBC/SC/ST,"INR 250,000",UG,Ug,SC/ST category,Not Specified,Merit-based scholarship for Rajasthan board toppers.,Private,Not Specified,"INR 5,000/year",Up to 5 years,July,https://hte.rajasthan.gov.in/
15,Madhya Pradesh,Mukhya Mantri Medhavi Vidyarthi Yojana,General/OBC/SC/ST,"INR 600,000",UG,Ug,SC/ST category,Not Specified,Tuition fee assistance for meritorious students in MP.,Not Specified,Not Specified,Full tuition fees,Annual,May,http://scholarshipportal.mp.nic.in/
16,Punjab,Post Matric Scholarship for SC Students,SC,"INR 250,000",10th pass,10th pass,Not Specified,Not Specified,Reimbursement of compulsory fees for SC students.,Private,Not Specified,Full tuition + allowance,Annual,October,https://www.scholarships.punjab.gov.in/
17,Bihar,Mukhyamantri Kanya Utthan Yojana,Girl Students,"INR 250,000",UG,Ug,Female category,Not Specified,Incentive for girl students who pass graduation.,Not Specified,Not Specified,"INR 25,000 (UG pass)",One-time,After graduation,https://ekalyan.bih.nic.in/
18,Andhra Pradesh,Jagananna Vidya Deevena,General/OBC/SC/ST,"INR 250,000",UG/PG/Polytechnic,Ug/pg/polytechnic,SC/ST category,Not Specified,Full fee reimbursement scheme for AP students.,Not Specified,Not Specified,Full tuition fee,Quarterly,Ongoing,https://jnanabhumi.ap.gov.in/
19,Telangana,Telangana ePASS Post Matric Scholarship,SC/ST/BC/EBC/Minority,"INR 200,000",10th pass,10th pass,Minority category,Not Specified,Financial aid for post-matric students in Telangana.,Private,Not Specified,Full tuition + maintenance,Annual,September,https://telanganaepass.cgg.gov.in/
20,Odisha,PRERANA Post Matric Scholarship,SC/ST/OBC/SEBC,"INR 250,000",10th pass,10th pass,SC/ST category,Not Specified,Scholarship for post-matric studies in Odisha.,Private,Not Specified,"Up to INR 10,000",Annual,September,https://scholarship.odisha.gov.in/
21,Tamil Nadu,Thanthai Periyar Memorial Award,General/OBC/SC/ST,No income limit,UG,Outstanding class 12,SC/ST category,Not Specified,Scholarship for outstanding Class 12 students from Tamil Nadu.,Private,Not Specified,"INR 3,000/year",3 years,June,https://escholarshiplearn.com/tamil-nadu-scholarship/
22,Tamil Nadu,Vidyadhan Tamil Nadu Plus 1 Scholarship,General/OBC/SC/ST,"INR 200,000",10th pass,Meritorious students from poor families to study class 11,SC/ST category,Not Specified,For meritorious students from poor families to study Class 11 & 12.,Private,Not Specified,"INR 6,000/year",2 years,May,https://www.vidyadhan.org/apply
23,Tamil Nadu,National Talent Search Exam (NTSE),General/OBC/SC/ST,No income limit,10th pass,10th pass,SC/ST category,Not Specified,National scholarship for Class 10 students based on a national-level test.,Private,Not Specified,"INR 1,250-2,000/month",Up to Ph.D.,Aug-sep,https://ncert.nic.in/national-talent-examination.php
24,Tamil Nadu,AICTE Saksham Scholarship,General/OBC/SC/ST,"INR 800,000",1st-year UG (Tech),Aicte technical,SC/ST category,Not Specified,Technical scholarship for differently-abled students.,Private,Not Specified,"INR 50,000/year",4 years,December,https://www.aicte-india.org/.../Saksham
25,Tamil Nadu,Central Sector Scheme of Scholarships,General/OBC/SC/ST,"INR 800,000",UG/PG,Ug/pg,SC/ST category,20% in  Class 12,Central government merit-cum-means scholarship for UG/PG students.,Government,Not Specified,"INR 10,000-20,000/year",Up to 5 years,October,https://scholarships.gov.in/
26,Tamil Nadu,TN Educational Endowment Scholarship,General/OBC/SC/ST,"INR 100,000",UG/PG,Ug/pg,SC/ST category,Not Specified,Financial aid for top academic performers in TN.,Private,Not Specified,Varies,Annual,Varies,https://www.tndce.tn.gov.in/Home/scholarship
27,Tamil Nadu,Tamil Nadu State Scholarship for Differently Abled,Differently Abled,No income limit,UG/PG,Ug/pg,Differently Abled category,Not Specified,Support for students with disabilities.,Government,Not Specified,"Up to INR 12,000/year",Annual,October,https://www.scd.tn.gov.in/content/scholarship
28,Tamil Nadu,Adi Dravidar and Tribal Welfare Post Matric Scholarship,SC/ST,"INR 250,000",10th pass,10th pass,SC/ST category,Not Specified,Financial support for SC/ST post-matric students.,NGO,Not Specified,Tuition + Maintenance,Annual,October,https://escholarship.tn.gov.in/
29,Tamil Nadu,Tamil Nadu Free Education Scheme for First Graduate Students,General/OBC/SC/ST,"INR 100,000",UG (Govt institutions),Ug (govt institutions),SC/ST category,Not Specified,Waiver of tuition fees for first graduate in family.,Not Specified,Not Specified,Full Tuition Fee,Full course duration,On admission,https://www.tndce.tn.gov.in/FirstGraduate
30,Tamil Nadu,EVR Nagammai Scholarship,BC/MBC/DNC Girl,"INR 200,000",UG/PG,Ug/pg,Female category,Not Specified,Scholarship for girl students from backward classes.,Private,Not Specified,"INR 1,000-2,000/year",Annual,August,https://escholarship.tn.gov.in/
31,Tamil Nadu,National Means-Cum-Merit Scholarship (NMMS),General/OBC/SC/ST,"INR 350,000",8th pass,Meritorious students from class 8,SC/ST category,55% in  Class 7,Scholarship for meritorious students from Class 8 onward.,Private,Not Specified,"INR 12,000/year",4 years,November,https://dsel.education.gov.in/scholarship-schemes/nmms
32,Tamil Nadu,Tamil Nadu Chief Minister's Fellowship Program (CMFP),General/OBC/SC/ST,No income limit,UG/PG,Ug/pg,SC/ST category,Not Specified,Fellowship to work with the Tamil Nadu government.,Government,Not Specified,"INR 60,000/month + benefits",1-2 years,May,https://www.tn.gov.in/CMFellowship
33,Tamil Nadu,Perarignar Anna Memorial Award,General/OBC/SC/ST,No income limit,UG,Top-performing class 12,SC/ST category,Not Specified,Award for top-performing Class 12 students in Tamil Nadu.,Not Specified,Not Specified,"INR 3,000/year",4 years,June,https://escholarshiplearn.com/tamil-nadu-scholarship/
34,Tamil Nadu,Tamil Nadu CM Fellowship,General/OBC/SC/ST,"INR 600,000",PG (any discipline),Pg (any discipline),SC/ST category,Not Specified,Fellowship to work on governance-related projects with the TN Govt.,Government,Not Specified,"INR 30,000/month",1 year,May,https://www.tn.gov.in/cm_fellowship
35,Tamil Nadu,Adi Dravidar & Tribal Welfare Post Matric Scholarship,SC/ST,"INR 250,000",Post-Matric,Post-matric,SC/ST category,Not Specified,Scholarship for SC/ST students for post-matric education in TN.,NGO,Not Specified,Tuition + Maintenance,Annual,October,https://escholarship.tn.gov.in
36,Tamil Nadu,EVR Nagammai Free Education Scheme,BC/MBC,"INR 200,000",UG Girls,Ug girls,Female category,Not Specified,Free education for BC/MBC girl students in TN government colleges.,Government,Not Specified,Full Fee Waiver,3-4 years,June,https://www.tn.gov.in/scheme/data_view/37202
37,Tamil Nadu,Free Education Scheme for First Graduate Students,General/BC/MBC,"INR 100,000",UG (First Gen),Ug (first gen),Not Specified,Not Specified,Tuition fee reimbursement for first-gen graduates in TN.,Not Specified,Not Specified,Full Tuition Fee,3-4 years,July,https://www.tn.gov.in/scheme/data_view/37200
38,Tamil Nadu,Pudhumai Penn Scheme,SC/ST/BC/MBC/DNC,"INR 250,000",UG Girls,"In govt schools, enrolled in ug degree",Female category,Not Specified,Monthly financial support for girls from govt schools in TN.,Government,Not Specified,"INR 1,000/month",3 years,Ongoing,https://penkalvi.tn.gov.in
39,Tamil Nadu,Perarignar Anna Memorial Award,SC/ST,"INR 250,000",10th pass,10th pass,SC/ST category,Not Specified,Cash award for top 2 SC/ST students in 10th std from each district.,Not Specified,Not Specified,"INR 10,000",One-time,August,https://www.tn.gov.in/scheme/data_view/36591
40,Tamil Nadu,Thanthai Periyar Memorial Award,SC/ST,"INR 250,000",12th pass,12th pass,SC/ST category,Not Specified,Cash award for top 2 SC/ST students in HSC from each district.,Not Specified,Not Specified,"INR 10,000",One-time,August,https://www.tn.gov.in/scheme/data_view/36592
41,Tamil Nadu,Moovalur Ramamirtham Ammaiyar Scheme,BC/MBC/DNC,"INR 200,000",UG Girls,Ug girls,Female category,Not Specified,Monthly stipend for girl students continuing education after 12th.,Not Specified,Not Specified,"INR 1,000/month",Up to 3 years,Ongoing,https://penkalvi.tn.gov.in
42,Tamil Nadu,CM's Merit Scholarship to First-Gen Graduate Girls,BC/MBC/DNC,"INR 200,000",UG Girls (First Gen),Ug girls (first gen),Female category,Not Specified,Annual scholarship for first-gen BC/MBC girl students in TN.,Private,Not Specified,"INR 3,000/year",3-4 years,September,https://www.tn.gov.in/scheme/data_view/36595
43,Tamil Nadu,Central Govt SC/ST Top Class Education Scheme (for TN),SC/ST,"INR 450,000",UG/PG (in TN),Ug/pg (in tn),SC/ST category,Not Specified,"Financial aid for SC/ST students in top institutions (IITs, IIMs, etc.).",Government,Not Specified,Full Fee + Stipend,Full Course Duration,October,https://scholarships.gov.in
44,Tamil Nadu,Kotak Kanya Scholarship,General/EWS/OBC,"INR 600,000",12th pass,Meritorious girl students pursuing ug professional degree,Female category,Not Specified,Support for meritorious girl students pursuing UG professional degrees.,Private,Not Specified,Up to INR 1.5 Lakhs/year,Full course duration,October,https://www.buddy4study.com/scholarship/kotak-kanya-scholarship
45,Tamil Nadu,Raman Kant Munjal Scholarship,EWS/OBC,"INR 400,000",UG Commerce/Finance,Ug commerce/finance,OBC category,80% in  Class 12,Financial aid for meritorious students pursuing finance/commerce.,Private,Not Specified,"INR 48,000 to 5 Lakhs/year",3-4 years,September,https://www.buddy4study.com/scholarship/raman-kant-munjal-scholarship
46,Tamil Nadu,Sitaram Jindal Foundation Scholarship,OBC/SC/ST/BC/MBC,"INR 400,000",UG/PG/Technical,In ug,Female category,60% in last qualifying exam,Scholarship for economically backward students in Tamil Nadu.,NGO,Not Specified,"INR 500 to INR 2,000/month",1 year (renewable),Rolling,http://www.sitaramjindalfoundation.org/scholarships.html
47,Tamil Nadu,LIC HFL Vidyadhan Scholarship,OBC/SC/ST,"INR 300,000",UG/PG,Ug/pg,SC/ST category,Not Specified,Financial support for students from low-income families.,Private,Not Specified,"INR 20,000-30,000/year",1 year (renewable),October,https://www.buddy4study.com/scholarship/lic-hfl-vidyadhan-scholarship
48,Tamil Nadu,Foundation for Excellence (FFE) Scholarship,BC/MBC/OBC,"INR 180,000",1st Year Engineering UG/MBBS,Bright students in professional degree,OBC category,Not Specified,Support for bright students in professional degrees.,NGO,Not Specified,Full tuition fee support,Course duration,August,https://ffe.org/
49,Kerala,Post Matric Scholarship (PMS),Minority Communities,"INR 200,000",Plus Two/UG/PG/Ph.D,Plus two/ug/pg/ph.d,Minority category,Not Specified,Scholarship for minority students pursuing higher education.,Private,Not Specified,Admission & tuition fee + maintenance allowance,1 year (renewable),Varies,https://Post Matric Scholarship (PMS)
50,Kerala,E-Grantz Scholarship,SC/ST/OBC,"INR 100,000",UG/PG,Ug/pg,SC/ST category,Not Specified,Financial assistance for students from SC/ST/OBC communities.,Private,Not Specified,Varies,1 year (renewable),Varies,https://E-Grantz Scholarship
51,Kerala,Post Matric Scholarship for Minorities - Kerala,Minority Communities,"INR 200,000",Post-Matric,Students from minority communities for post-matric,Minority category,Not Specified,Scholarship for students from minority communities for post-matric studies in Kerala.,Private,Not Specified,"Up to INR 10,000",1 year,October,https://minoritywelfare.kerala.gov.in/
52,Kerala,E-Grantz Scholarship - SC/ST/OBC,SC/ST/OBC,"INR 100,000",Post-Matric,Post-matric,SC/ST category,Not Specified,Government scholarship for SC/ST/OBC students pursuing higher studies.,Government,Not Specified,Tuition fee + stipend,Duration of Course,Open all year,https://egrantz.kerala.gov.in/
53,Kerala,CH Muhammed Koya Scholarship,Girls from Muslim/Latin/Converted Christian Communities,"INR 800,000",UG/PG,Ug/pg,Female category,Not Specified,Girl students from specific communities pursuing higher education.,Private,Not Specified,"INR 5,000 to INR 13,000",1 year (renewable),October,https://minoritywelfare.kerala.gov.in/
54,Kerala,Prof. Joseph Mundassery Scholarship,SC/ST/OBC/Minorities,"INR 200,000",SSLC/HSE/VHSE,Sslc/hse/vhse,SC/ST category,Not Specified,Merit scholarship for economically backward students who excelled in board exams.,Private,Not Specified,"INR 10,000",1 year,September,https://minoritywelfare.kerala.gov.in/
55,Kerala,Vidya Samunnathi Scholarship,Economically Backward Forward Communities,"INR 200,000",School to PG/Professional,School to pg/professional,Not Specified,Not Specified,Educational aid for students from economically backward forward communities.,Private,Not Specified,"INR 2,000 to INR 50,000",1 year (renewable),October,https://www.kswcfc.org/
56,Kerala,Snehapoorvam Scholarship,Orphaned Children,"INR 250,000",School/College,School/college,Not Specified,Not Specified,Financial support for orphaned children continuing education in Kerala.,Private,Not Specified,"INR 300 to INR 1,000/month",Till course completion,July,https://kssm.ikm.in/
57,Kerala,Blind/PH Scholarship - Kerala,Blind/Physically Handicapped,"INR 250,000",School/UG/PG,School/ug/pg,Not Specified,Not Specified,Scholarship for visually/physically impaired students in Kerala.,Private,Not Specified,Tuition fee + Hostel charges,1 year (renewable),October,https://minoritywelfare.kerala.gov.in/
58,Kerala,ITC Fee Reimbursement for SC Students,SC,"INR 250,000",Industrial Training Course,Industrial training course,Not Specified,Not Specified,Fee reimbursement for SC students enrolled in ITI courses.,Not Specified,Not Specified,Full fee reimbursement,Duration of course,September,https://scdd.kerala.gov.in/
59,Kerala,Prathibha Scholarship Programme,General/OBC/SC/ST,"INR 450,000",12th Pass with Science Stream,Meritorious science students pursuing ug,SC/ST category,Not Specified,Support for meritorious science students pursuing UG/PG in basic sciences.,Private,Not Specified,"INR 12,000 to INR 60,000/year",Up to 5 years,October,http://kscste.kerala.gov.in/
60,Kerala,INSPIRE Scholarship (Through Kerala Schools),General/OBC/SC/ST,No income limit,12th Pass in Science,Basic sciences ug,SC/ST category,Not Specified,"National-level science scholarship for talented students, applicable via Kerala institutions.",Private,Not Specified,"INR 80,000/year",5 years,October,https://online-inspire.gov.in/
61,Kerala,Muthoot M George Higher Education Scholarship,All Categories,"INR 200,000",UG/PG,Ug/pg,All category,Not Specified,Offered by Muthoot Group for financially weak students pursuing higher education.,Private,Not Specified,"Up to INR 30,000",1 year (renewable),October,https://muthoot.com/muthoot-m-george-foundation/
62,Kerala,Vidyadhan Kerala Plus 2 Scholarship (SDF Foundation),Economically Backward,"INR 200,000",Completed Class 10,Completed class 10,Not Specified,Not Specified,Private scholarship for meritorious students entering Plus 2.,NGO,Not Specified,"INR 6,000/year",2 years,July,https://www.vidyadhan.org/
63,Kerala,Malayala Manorama Merit Scholarship,All Categories,"INR 200,000",School/UG,School/ug,All category,Not Specified,Offered by Malayala Manorama for academic excellence and need.,Private,Not Specified,Varies,1 year,August,https://www.manoramaonline.com/
64,Kerala,SAF Scholarship Programme (Student Alliance Foundation),Minority/Underprivileged,"INR 250,000",School/UG/PG,School/ug/pg,Minority category,Not Specified,Scholarship for poor and deserving students in Kerala.,NGO,Not Specified,"INR 5,000 - INR 15,000",1 year,September,https://safkerala.org/
65,Kerala,Reliance Foundation Scholarships,General/OBC/SC/ST,"INR 400,000",UG in Science/Engineering,Ug in science/engineering,SC/ST category,Not Specified,For top students pursuing tech/science UG courses.,NGO,Not Specified,"Up to INR 2,00,000/year",Up to 4 years,October,https://www.reliancefoundation.org/
66,Kerala,Santoor Women's Scholarship,Women from disadvantaged background,"INR 200,000",12th Pass + UG Admission,Full-time ug,Female category,Not Specified,For young women from underprivileged backgrounds starting UG.,Private,Not Specified,"INR 24,000/year",3 years,August,https://www.santoorscholarships.com/
67,Kerala,Ryan Merit cum Means Scholarship,All Categories,"INR 300,000",Class 10/12 Pass,Class 10/12 pass,All category,Not Specified,"Offered by Ryan Foundation to help bright, poor students.",NGO,Not Specified,"INR 10,000 - INR 25,000",1 year,July,https://www.ryanfoundation.org/
68,Kerala,Aspire Scholarship (Malabar Group),Muslim/Backward Communities,"INR 200,000",UG/PG,Ug/pg,Not Specified,Not Specified,Initiative by Malabar Group to support higher education for minorities.,Private,Not Specified,"Up to INR 25,000",1 year,August,https://www.malabargoldanddiamonds.com/
69,Kerala,Joseph Mundassery Memorial Charitable Trust Scholarship,Christian Students,"INR 200,000",School/College,School/college,Not Specified,Not Specified,Private trust scholarship for financially needy Christian students.,International,Not Specified,"INR 5,000 - INR 15,000",1 year,September,https://jmtrust.in/
70,Kerala,HDFC Bank Parivartan's ECSS Programme,All Categories,"INR 250,000",School/UG/PG/Professional,School/ug/pg/professional,All category,Not Specified,HDFC Bank CSR initiative to support students from disadvantaged families.,Private,Not Specified,"INR 15,000 - INR 75,000",1 year (renewable),July,https://www.hdfcbank.com/scholarship
71,Karnataka,SSP Post Matric Scholarship for SC/ST Students,SC/ST,"INR 250,000",Post-Matric,Post-matric,SC/ST category,Not Specified,State scholarship for SC/ST students pursuing post-matric education.,Government,Not Specified,Tuition + Hostel Fee,Annual,October,https://ssp.karnataka.gov.in/
72,Karnataka,SSP Post Matric Scholarship for OBC Students,OBC,"INR 100,000",Post-Matric,Obc students studying beyond class 10,OBC category,Not Specified,Financial support for OBC students studying beyond Class 10.,Private,Not Specified,"Up to INR 5,000",1 year,October,https://ssp.karnataka.gov.in/
73,Karnataka,Karnataka Minority Scholarship (SSP Portal),Minority Communities,"INR 200,000",School/UG/PG,Minority students pursuing professional,Minority category,Not Specified,For minority students pursuing professional or higher education.,Private,Not Specified,Tuition + Maintenance,Annual,October,https://ssp.karnataka.gov.in/
74,Karnataka,Vidyasiri Scholarship,SC/ST/OBC/Minority,"INR 250,000",Post-Matric,Post-matric,OBC category,Not Specified,Hostel fee support for backward class and minority students.,Private,Not Specified,"INR 1,500/month",10 months,October,https://ssp.karnataka.gov.in/
75,Karnataka,National Overseas Scholarship - Karnataka,SC/ST/OBC/Minority,"INR 600,000",PG/PhD (Abroad),Pg/phd (abroad),Minority category,Not Specified,Financial support for higher studies abroad for backward communities.,International,Not Specified,Up to INR 20 Lakhs,Duration of Course,May,https://backwardclasses.kar.nic.in/
76,Karnataka,Incentive for SSLC & 2nd PUC Rank Holders,All Categories,No Income Limit,SSLC/PUC Toppers,Sslc/puc toppers,All category,Not Specified,Cash award to meritorious SSLC and PUC toppers.,Not Specified,Not Specified,"INR 10,000 - INR 25,000",One-time,July,https://ssp.karnataka.gov.in/
77,Karnataka,Defence Scholarship Scheme - Karnataka,Children of Defence Personnel,No Income Limit,School/College,School/college,Not Specified,Not Specified,Aid to children of defense personnel studying in Karnataka.,Private,Not Specified,"Up to INR 10,000",1 year,September,https://ssp.karnataka.gov.in/
78,Karnataka,Sanchi Honnamma Scholarship for Girls,Girl Students,"INR 250,000",UG (First-year),First-year degree,Female category,Not Specified,Encourages girls to pursue higher education in Karnataka.,Private,Not Specified,"INR 2,000/year",1 year,November,https://ssp.karnataka.gov.in/
79,Karnataka,Mukhya Mantri Vidya Siri Scheme,SC/ST/OBC/Minority,"INR 250,000",Degree/Diploma,Degree/diploma,Minority category,Not Specified,Monthly financial aid for hostel stay for backward students.,Not Specified,Not Specified,"INR 1,500/month",10 months,October,https://ssp.karnataka.gov.in/
80,Karnataka,Pre-Matric Scholarship for SC/ST Students - Karnataka,SC/ST,"INR 250,000",Class 1 to 10,Class 1 to 10,SC/ST category,Not Specified,Financial assistance to SC/ST students in school.,Private,Not Specified,"INR 2,250 - INR 3,500",1 year,September,https://ssp.karnataka.gov.in/
81,Karnataka,Vidyadhan Karnataka Plus 1 Scholarship (SDF Foundation),Economically Backward,"INR 200,000",Completed Class 10,Completed class 10,SC/ST category,Not Specified,Scholarship for meritorious students entering Plus 1 in Karnataka.,NGO,Not Specified,"INR 6,000/year",2 years,July,https://www.vidyadhan.org/
82,Karnataka,Santoor Women's Scholarship,Women from disadvantaged background,"INR 200,000",12th Pass + UG Admission,12th pass + ug admission,Female category,Not Specified,For girls from underprivileged areas pursuing higher education.,Private,Not Specified,"INR 24,000/year",3 years,August,https://www.santoorscholarships.com/
83,Karnataka,Foundation for Excellence (FFE) Scholarship,General/OBC/SC/ST,"INR 300,000",Engineering/MBBS 1st Year,Bright students admitted to premier engineering or medical,SC/ST category,Not Specified,For bright students admitted to premier engineering or medical colleges.,NGO,Not Specified,Full tuition + expenses,Up to 4 years,September,https://www.ffe.org/
84,Karnataka,MRF Sahaya Scholarship,All Categories,"INR 250,000",Class 10/PUC,Class 10/puc,All category,Not Specified,Helps economically weak school students continue studies.,Private,Not Specified,"INR 5,000 - INR 15,000",1 year,August,https://www.mrftyres.com/scholarships
85,Karnataka,Lila Poonawalla Foundation Scholarship - PG Girls,All,"INR 350,000",PG (Professional),Pg professional,Female category,Not Specified,For deserving girls pursuing postgraduate studies in Karnataka.,NGO,Not Specified,"Up to INR 60,000/year",2 years,July,https://www.lpfscholarship.com/
86,Karnataka,Aspire Scholarship (Malabar Group),Muslim/Backward Communities,"INR 200,000",UG/PG,Ug/pg,OBC category,Not Specified,Supports higher education for minorities and backward class students.,Private,Not Specified,"Up to INR 25,000",1 year,August,https://www.malabargoldanddiamonds.com/
87,Karnataka,GEMS Education Trust Scholarship,All Categories,"INR 300,000",Class 11 & 12,Class 11 & 12,All category,Not Specified,For students continuing higher secondary education in Karnataka.,International,Not Specified,"INR 10,000 - INR 20,000",2 years,July,https://www.gemseducation.com/
88,Karnataka,Vahani Scholarship,SC/ST/OBC/Minority,"INR 200,000",Class 12 Pass,Meritorious underprivileged students joining ug,Minority category,Not Specified,Full funding for meritorious underprivileged students joining UG.,Private,Not Specified,Full tuition + stipend,Up to 5 years,December,https://www.vahanischolarship.com/
89,Karnataka,Kotak Shiksha Nidhi,All Categories,Affected by covid-19,School/College,School/college,All category,Not Specified,For students who lost parents due to COVID-19.,Not Specified,Not Specified,Up to INR 1.5 Lakhs/year,Till course completion,Rolling (open now),https://www.kotak.com/en/about-us/sustainability/kotak-shiksha-nidhi.html
90,Karnataka,HDFC Bank Parivartan's ECSS Scholarship,All Categories,"INR 250,000",School/UG/PG,School/ug/pg,All category,Not Specified,Scholarship to help economically challenged students pursue education.,Private,Not Specified,"INR 15,000 - INR 75,000",1 year (renewable),July,https://www.hdfcbank.com/scholarship
91,Andhra Pradesh,Post Matric Scholarship (PMS),SC/ST/BC/EBC/Minority/Differently Abled,"INR 200,000",Post-Matric,Eligible students pursuing post-matric,Minority category,Not Specified,Financial assistance for eligible students pursuing post-matric education.,Private,Not Specified,Tuition fee reimbursement,Duration of course,Varies,Not Available
92,Andhra Pradesh,NTR Videshi Vidyadharana Overseas Scholarship,BC/EBC,"INR 600,000",Graduate,Graduate,Not Specified,Not Specified,Financial aid for BC/EBC students pursuing higher education abroad.,International,Not Specified,Up to INR 10 Lakhs,Duration of course,Varies,Not Available
93,Andhra Pradesh,Vidyadhan Andhra Pradesh Intermediate Scholarship,All Categories,"INR 200,000",Class 10 Pass,Meritorious students entering class 11,SC/ST category,Not Specified,Scholarship for meritorious students entering Class 11.,Private,Not Specified,"INR 10,000 per annum",2 years,Varies,Not Available
94,Andhra Pradesh,Gayathri Scheme for Academic Excellence (GS-AE),Brahmin Community,No income limit,Topper in School/College,Topper in school/college,Not Specified,Not Specified,Recognition and financial assistance for academic toppers.,Not Specified,Not Specified,Varies,One-time,Varies,Not Available
95,Andhra Pradesh,Bharati Scheme for Education (BSE),Brahmin Community,"INR 300,000",Class 1 to Postgraduation,Class 1 to postgraduation,Not Specified,Not Specified,Financial assistance for Brahmin students pursuing education.,Not Specified,Not Specified,Varies,1 year (renewable),Varies,Not Available
96,Andhra Pradesh,Jnanabhumi Pre-Matric Scholarship,SC/ST/BC/EBC/Minority/Differently Abled,"INR 200,000",Class 5 to 10,Class 5 to 10,Minority category,Not Specified,Financial assistance for eligible students in pre-matric education.,Private,Not Specified,Varies,1 year (renewable),Varies,Not Available
97,Andhra Pradesh,Andhra Pradesh Intermediate Scholarship,All Categories,"INR 200,000",Class 10 Pass,Students who excelled in class 10,All category,Not Specified,Scholarship for students who excelled in Class 10 exams.,Private,Not Specified,Varies,1 year (renewable),Varies,Not Available
98,Andhra Pradesh,Ambedkar Overseas Vidya Nidhi Scholarship,SC/ST/BC/EBC/Kapu,"INR 600,000",Graduate,Graduate,SC/ST category,Not Specified,Financial support for students from various communities pursuing education abroad.,International,Not Specified,Up to INR 15 Lakhs,Duration of course,Varies,Not Available
